n,tau,k,Array_Size,Time
10,2,2,30,0.4367
10,2,3,16,0.1721
10,2,4,12,0.1134
10,2,5,10,0.0855
10,2,6,8,0.095
10,2,7,8,0.0472
10,3,3,56,6.4904
10,3,4,40,3.9743
10,3,5,22,18.5891
10,3,6,21,9.8419
10,3,7,32,2.2756
10,3,8,32,1.7485
10,4,4,144,101.6397
10,4,5,TIMEOUT,inf
10,4,6,72,543.2749
10,4,7,120,71.976
10,4,8,TIMEOUT,inf
10,4,9,TIMEOUT,inf
20,2,2,60,15.2796
20,2,3,32,6.5234
20,2,4,22,3.9461
20,2,5,18,3.2834
20,2,6,14,2.2748
20,2,7,12,1.8797
20,3,3,100,508.2668
20,3,4,72,348.4061
20,3,5,56,263.7183
20,3,6,48,225.0153
20,3,7,44,215.5999
20,3,8,40,194.4494
20,4,4,TIMEOUT,inf
20,4,5,TIMEOUT,inf
20,4,6,TIMEOUT,inf
20,4,7,TIMEOUT,inf
20,4,8,TIMEOUT,inf
20,4,9,TIMEOUT,inf
30,2,2,90,121.9938
30,2,3,46,48.0524
30,2,4,32,30.3317
30,2,5,24,21.2961
30,2,6,20,17.4404
30,2,7,18,16.167
30,3,3,TIMEOUT,inf
30,3,4,TIMEOUT,inf
30,3,5,TIMEOUT,inf
30,3,6,TIMEOUT,inf
30,3,7,TIMEOUT,inf
30,3,8,TIMEOUT,inf
30,4,4,TIMEOUT,inf
30,4,5,TIMEOUT,inf
30,4,6,TIMEOUT,inf
30,4,7,TIMEOUT,inf
30,4,8,TIMEOUT,inf
30,4,9,TIMEOUT,inf
